event_id,intervention_type,policy_category,creator_tier,minutes_from_event,ccv
EVT_02041,stream_pause,misinformation,Nano,-5,156
EVT_02041,stream_pause,misinformation,Nano,-4,161
EVT_02041,stream_pause,misinformation,Nano,-3,159
EVT_02041,stream_pause,misinformation,Nano,-2,164
EVT_02041,stream_pause,misinformation,Nano,-1,156
EVT_02041,stream_pause,misinformation,Nano,0,154
EVT_02041,stream_pause,misinformation,Nano,1,151
EVT_02041,stream_pause,misinformation,Nano,2,146
EVT_02041,stream_pause,misinformation,Nano,3,142
EVT_02041,stream_pause,misinformation,Nano,4,130
EVT_02041,stream_pause,misinformation,Nano,5,128
EVT_02041,stream_pause,misinformation,Nano,6,132
EVT_02041,stream_pause,misinformation,Nano,7,127
EVT_02041,stream_pause,misinformation,Nano,8,129
EVT_02041,stream_pause,misinformation,Nano,9,128
EVT_02041,stream_pause,misinformation,Nano,10,130
EVT_02041,stream_pause,misinformation,Nano,11,126
EVT_02041,stream_pause,misinformation,Nano,12,126
EVT_02041,stream_pause,misinformation,Nano,13,128
EVT_02041,stream_pause,misinformation,Nano,14,125
EVT_02041,stream_pause,misinformation,Nano,15,129
EVT_00030,audio_mute,minor_safety,Nano,-5,203
EVT_00030,audio_mute,minor_safety,Nano,-4,212
EVT_00030,audio_mute,minor_safety,Nano,-3,204
EVT_00030,audio_mute,minor_safety,Nano,-2,205
EVT_00030,audio_mute,minor_safety,Nano,-1,209
EVT_00030,audio_mute,minor_safety,Nano,0,199
EVT_00030,audio_mute,minor_safety,Nano,1,181
EVT_00030,audio_mute,minor_safety,Nano,2,168
EVT_00030,audio_mute,minor_safety,Nano,3,137
EVT_00030,audio_mute,minor_safety,Nano,4,120
EVT_00030,audio_mute,minor_safety,Nano,5,97
EVT_00030,audio_mute,minor_safety,Nano,6,89
EVT_00030,audio_mute,minor_safety,Nano,7,96
EVT_00030,audio_mute,minor_safety,Nano,8,97
EVT_00030,audio_mute,minor_safety,Nano,9,99
EVT_00030,audio_mute,minor_safety,Nano,10,97
EVT_00030,audio_mute,minor_safety,Nano,11,97
EVT_00030,audio_mute,minor_safety,Nano,12,101
EVT_00030,audio_mute,minor_safety,Nano,13,104
EVT_00030,audio_mute,minor_safety,Nano,14,109
EVT_00030,audio_mute,minor_safety,Nano,15,114
EVT_01002,audio_mute,spam_fake_engagement,Micro,-5,1556
EVT_01002,audio_mute,spam_fake_engagement,Micro,-4,1532
EVT_01002,audio_mute,spam_fake_engagement,Micro,-3,1449
EVT_01002,audio_mute,spam_fake_engagement,Micro,-2,1476
EVT_01002,audio_mute,spam_fake_engagement,Micro,-1,1503
EVT_01002,audio_mute,spam_fake_engagement,Micro,0,1476
EVT_01002,audio_mute,spam_fake_engagement,Micro,1,1370
EVT_01002,audio_mute,spam_fake_engagement,Micro,2,1233
EVT_01002,audio_mute,spam_fake_engagement,Micro,3,1086
EVT_01002,audio_mute,spam_fake_engagement,Micro,4,959
EVT_01002,audio_mute,spam_fake_engagement,Micro,5,761
EVT_01002,audio_mute,spam_fake_engagement,Micro,6,821
EVT_01002,audio_mute,spam_fake_engagement,Micro,7,782
EVT_01002,audio_mute,spam_fake_engagement,Micro,8,781
EVT_01002,audio_mute,spam_fake_engagement,Micro,9,832
EVT_01002,audio_mute,spam_fake_engagement,Micro,10,860
EVT_01002,audio_mute,spam_fake_engagement,Micro,11,846
EVT_01002,audio_mute,spam_fake_engagement,Micro,12,839
EVT_01002,audio_mute,spam_fake_engagement,Micro,13,856
EVT_01002,audio_mute,spam_fake_engagement,Micro,14,858
EVT_01002,audio_mute,spam_fake_engagement,Micro,15,829
EVT_00701,content_warning_overlay,hate_speech,Micro,-5,2331
EVT_00701,content_warning_overlay,hate_speech,Micro,-4,2416
EVT_00701,content_warning_overlay,hate_speech,Micro,-3,2426
EVT_00701,content_warning_overlay,hate_speech,Micro,-2,2421
EVT_00701,content_warning_overlay,hate_speech,Micro,-1,2470
EVT_00701,content_warning_overlay,hate_speech,Micro,0,2411
EVT_00701,content_warning_overlay,hate_speech,Micro,1,2350
EVT_00701,content_warning_overlay,hate_speech,Micro,2,2218
EVT_00701,content_warning_overlay,hate_speech,Micro,3,2214
EVT_00701,content_warning_overlay,hate_speech,Micro,4,2031
EVT_00701,content_warning_overlay,hate_speech,Micro,5,2043
EVT_00701,content_warning_overlay,hate_speech,Micro,6,1951
EVT_00701,content_warning_overlay,hate_speech,Micro,7,1929
