event_id,timestamp,market,creator_tier,content_category,policy_category,intervention_type,detection_method,severity_score,is_proactive_removal,removed_within_24h,is_false_positive,baseline_ccv,ccv_lost_5min,ccv_recovered_15min,drop_off_rate,recovery_rate,creator_ack_seconds,scale_factor
EVT_01743,2026-01-01 00:01:19,US,Nano,Gaming,spam_fake_engagement,escalated_review_flag,automated,3.23,True,False,False,190,11,1,0.0586,0.1386,,262.9
EVT_00052,2026-01-01 00:56:45,US,Micro,Fitness,spam_fake_engagement,stream_pause,automated,4.11,True,True,False,2429,322,43,0.1328,0.1352,,262.9
EVT_03758,2026-01-01 01:10:26,US,Nano,Gaming,illegal_regulated_goods,stream_pause,automated,3.0,True,True,False,371,38,2,0.1047,0.067,,262.9
EVT_02044,2026-01-01 01:31:31,US,Micro,Music,hate_speech,content_warning_overlay,automated,1.92,True,True,False,708,126,16,0.1785,0.1344,,262.9
EVT_00390,2026-01-01 01:35:33,US,Micro,Music,minor_safety,content_warning_overlay,automated,1.73,True,True,False,841,225,20,0.2687,0.0927,,262.9
EVT_00733,2026-01-01 02:01:18,US,Nano,Gaming,hate_speech,audio_mute,automated,1.55,True,True,False,252,66,5,0.2651,0.0833,,262.9
EVT_01173,2026-01-01 02:49:13,US,Micro,Gaming,minor_safety,audio_mute,automated,2.42,True,True,False,2070,576,75,0.2784,0.1319,8.0,262.9
EVT_02763,2026-01-01 03:25:53,US,Nano,Education,violent_graphic,escalated_review_flag,human_review,3.94,True,True,False,182,18,2,0.1015,0.1388,,262.9
EVT_00395,2026-01-01 04:11:21,US,Nano,Education,illegal_regulated_goods,caption_text_removal,automated,1.15,True,True,False,182,9,0,0.0495,0.063,,262.9
EVT_03028,2026-01-01 04:41:56,US,Nano,Music,minor_safety,escalated_review_flag,automated,3.99,True,True,False,269,28,3,0.1042,0.1235,,262.9
EVT_01178,2026-01-01 05:04:36,US,Nano,Fitness,spam_fake_engagement,stream_pause,automated,3.83,True,True,False,100,25,2,0.2542,0.1127,,262.9
EVT_02031,2026-01-01 05:14:46,US,Mid,Fitness,illegal_regulated_goods,audio_mute,automated,1.84,True,True,False,4816,1671,150,0.3471,0.0903,127.0,262.9
EVT_00797,2026-01-01 05:42:04,US,Mid,Talk,illegal_regulated_goods,caption_text_removal,automated,1.69,True,True,False,2795,315,43,0.113,0.1396,,262.9
EVT_02910,2026-01-01 05:47:49,US,Micro,Fitness,adult_nudity_sexual,content_warning_overlay,automated,1.51,False,True,False,1217,222,21,0.183,0.0989,,262.9
EVT_00361,2026-01-01 05:59:06,US,Micro,Talk,hate_speech,audio_mute,human_review,1.89,True,True,False,789,344,28,0.436,0.0837,,262.9
EVT_01909,2026-01-01 06:33:56,US,Macro,Commerce,minor_safety,audio_mute,automated,2.41,True,True,False,68419,17667,1196,0.2582,0.0677,31.0,262.9
EVT_00137,2026-01-01 06:36:26,US,Nano,Education,minor_safety,audio_mute,human_review,1.72,True,True,False,509,194,22,0.3823,0.1183,,262.9
EVT_02002,2026-01-01 07:09:31,US,Macro,Music,adult_nudity_sexual,stream_pause,automated,3.75,True,True,False,41193,7511,808,0.1823,0.1076,,262.9
EVT_01072,2026-01-01 07:11:16,US,Macro,Commerce,adult_nudity_sexual,content_warning_overlay,user_report,2.35,True,True,False,56550,10798,0,0.191,0.0,,262.9
EVT_02221,2026-01-01 08:10:29,US,Nano,Music,misinformation,caption_text_removal,automated,1.2,True,True,False,278,40,4,0.1455,0.1181,,262.9
EVT_02539,2026-01-01 08:22:26,US,Micro,Talk,spam_fake_engagement,caption_text_removal,automated,1.03,True,False,False,1328,100,7,0.0755,0.0716,,262.9
EVT_03523,2026-01-01 08:44:24,US,Micro,Commerce,minor_safety,content_warning_overlay,automated,2.02,True,True,False,1346,399,44,0.2966,0.1122,,262.9
EVT_02863,2026-01-01 08:48:30,US,Nano,Education,violent_graphic,caption_text_removal,automated,1.39,True,True,False,666,108,0,0.163,0.0,,262.9
EVT_02607,2026-01-01 08:50:20,US,Macro,Gaming,minor_safety,caption_text_removal,automated,1.35,True,True,False,41183,9624,1187,0.2337,0.1234,,262.9
EVT_02448,2026-01-01 08:58:06,US,Nano,Music,adult_nudity_sexual,caption_text_removal,automated,1.28,True,True,False,255,34,5,0.1335,0.1503,,262.9
EVT_03619,2026-01-01 09:09:16,US,Nano,Commerce,hate_speech,audio_mute,automated,1.97,True,True,False,197,89,10,0.4536,0.1175,,262.9
EVT_03000,2026-01-01 09:28:35,US,Nano,Music,illegal_regulated_goods,content_warning_overlay,automated,1.84,True,True,False,232,45,1,0.1945,0.0405,,262.9
EVT_00883,2026-01-01 09:36:49,US,Nano,Music,hate_speech,caption_text_removal,automated,1.39,True,True,False,226,39,3,0.1744,0.0949,,262.9
EVT_01232,2026-01-01 09:41:16,US,Nano,Talk,violent_graphic,audio_mute,automated,1.75,True,True,False,207,70,9,0.3389,0.1372,,262.9
EVT_00785,2026-01-01 10:00:23,US,Nano,Gaming,adult_nudity_sexual,content_warning_overlay,automated,2.01,True,True,False,199,55,4,0.2776,0.0899,,262.9
EVT_00476,2026-01-01 10:06:26,US,Mid,Education,spam_fake_engagement,audio_mute,automated,1.56,True,True,False,3977,753,87,0.1895,0.1164,,262.9
EVT_03104,2026-01-01 10:07:22,US,Micro,Music,spam_fake_engagement,stream_pause,automated,3.81,True,True,False,1159,279,22,0.2409,0.0824,,262.9
EVT_04062,2026-01-01 10:43:27,US,Nano,Fitness,minor_safety,stream_pause,automated,2.83,True,True,False,179,35,2,0.1988,0.0713,,262.9
EVT_02247,2026-01-01 10:43:36,US,Micro,Education,minor_safety,audio_mute,automated,1.98,True,True,False,1380,600,58,0.4354,0.0979,,262.9
EVT_00442,2026-01-01 10:58:59,US,Mid,Music,adult_nudity_sexual,caption_text_removal,automated,1.54,True,True,False,6371,1030,73,0.1617,0.0713,,262.9
EVT_03478,2026-01-01 11:12:51,US,Micro,Gaming,illegal_regulated_goods,escalated_review_flag,automated,3.39,True,True,False,713,7,0,0.01,0.0876,,262.9
EVT_03961,2026-01-01 11:54:17,US,Nano,Gaming,minor_safety,audio_mute,automated,1.52,True,True,False,64,25,1,0.3955,0.0529,63.0,262.9
EVT_01423,2026-01-01 13:03:16,US,Nano,Commerce,minor_safety,caption_text_removal,automated,1.58,True,True,False,306,52,5,0.1727,0.1086,,262.9
EVT_00899,2026-01-01 13:37:28,US,Mid,Music,hate_speech,audio_mute,automated,2.02,True,True,False,7036,2480,273,0.3526,0.1102,60.0,262.9
EVT_01064,2026-01-01 14:57:37,US,Micro,Talk,minor_safety,caption_text_removal,automated,1.24,True,True,False,2193,236,24,0.1077,0.1039,,262.9
EVT_01529,2026-01-01 15:11:10,US,Nano,Education,violent_graphic,content_warning_overlay,automated,1.96,True,True,False,822,81,8,0.0996,0.1013,,262.9
EVT_03669,2026-01-01 15:20:26,US,Nano,Fitness,hate_speech,escalated_review_flag,automated,4.35,True,True,False,160,37,4,0.2371,0.1202,,262.9
EVT_01069,2026-01-01 16:50:21,US,Nano,Music,violent_graphic,content_warning_overlay,automated,1.76,True,True,False,211,21,3,0.1015,0.1874,,262.9
EVT_02887,2026-01-01 17:15:51,US,Nano,Gaming,adult_nudity_sexual,audio_mute,automated,1.85,True,True,False,253,71,7,0.2825,0.0995,47.0,262.9
EVT_02704,2026-01-01 17:17:54,US,Mid,Talk,adult_nudity_sexual,caption_text_removal,automated,1.31,True,True,False,6726,183,19,0.0273,0.1059,,262.9
EVT_00708,2026-01-01 17:18:47,US,Nano,Education,hate_speech,content_warning_overlay,automated,1.32,True,True,False,204,33,3,0.1661,0.0998,,262.9
EVT_02055,2026-01-01 17:42:52,US,Micro,Gaming,hate_speech,stream_pause,automated,3.68,True,True,False,470,133,20,0.284,0.1564,,262.9
